289925;38421100-3;M³awa
487453;45000000-7;I³owo-Osada
507528;;I³owo-Osada
451095;45000000-7;M³awa
40415;45233222-1;Warszawa
345924;45233280-5;Warszawa
177853;45230000-8;M³awa
291352;63712400-7;M³awa
344627;34927100-2;M³awa
211075;45230000-8;M³awa
107376;45233120-6;M³awa
467306;71320000-7;I³owo-Osada
348003;45233120-6;M³awa
255594;44114200-4;M³awa
417301;44470000-5;M³awa
513754;;M³awa
235722;90733700-1;M³awa
450203;45231300-8;M³awa
262827;45231300-8;M³awa
261825;50232100-1;M³awa
360465;30190000-7;M³awa
454914;34927100-2;M³awa
292895;45310000-3;M³awa
445986;79421200-3;M³awa
215808;45221110-6;Warszawa
437713;71800000-6;M³awa
348003;45233120-6;M³awa
372834;45212200-8;M³awa
478622;34927100-2;M³awa
386647;44163000-0;M³awa
130796;45233225-2;Olsztyn
249949;71240000-2;Radom
251654;44114200-4;M³awa
158075;45230000-8;M³awa
372834;45212200-8;M³awa
487453;45000000-7;I³owo-Osada
355040;77211400-6;M³awa
267228;44163000-0;M³awa
29960;34927100-2;M³awa
366653;71320000-7;I³owo-Osada
194824;60100000-9;Warszawa
271900;34223100-7;M³awa
113457;45230000-8;M³awa
264176;44163000-0;M³awa
567725;;Warszawa
467306;71320000-7;I³owo-Osada
92308;45453000-7;Warszawa
351373;42131160-5;M³awa
564628;;Warszawa
414866;38421100-3;M³awa
249949;71240000-2;Radom
134754;45330000-9;Radom
350311;45233221-4;Warszawa
386647;44163000-0;M³awa
479288;60100000-9;I³owo-Osada
293746;71320000-7;M³awa
309960;60100000-9;Warszawa
386643;44163000-0;M³awa
271900;34223100-7;M³awa
373709;09134100-8;M³awa
145848;60100000-9;I³owo-Osada
547433;;Bydgoszcz
520453;;Bydgoszcz
289925;38421100-3;M³awa
417301;44470000-5;M³awa
317292;66510000-8;M³awa
471688;45000000-7;M³awa
8277;45100000-8;M³awa
547433;;Bydgoszcz
113457;45230000-8;M³awa
385020;33696500-0;M³awa
262827;45231300-8;M³awa
386647;;
487453;45000000-7;I³owo-Osada
354587;71000000-8;I³owo-Osada
267228;44163000-0;M³awa
414866;38421100-3;M³awa
235722;90733700-1;M³awa
527972;;I³owo-Osada
107376;45233120-6;M³awa
47204;71610000-7;M³awa
291352;63712400-7;M³awa
551760;;Bydgoszcz
445986;79421200-3;M³awa
346567;45233290-8;Warszawa
145848;60100000-9;I³owo-Osada
317272;98380000-0;M³awa
437713;71800000-6;M³awa
421028;45233120-6;M³awa
417507;45233120-6;Wiœniewo
535532;;M³awa
140176;09123000-7;M³awa
140176;09123000-7;M³awa
360465;30190000-7;M³awa
494738;45110000-1;M³awa
422311;09123000-7;M³awa
249313;71320000-7;M³awa
507528;;I³owo-Osada
417507;45233120-6;Wiœniewo
271900;34223100-7;M³awa
494526;45000000-7;I³owo-Osada
527972;;
326056;39100000-3;Ciechanów
551760;;Bydgoszcz
250471;09132100-4;M³awa
494526;45000000-7;I³owo-Osada
494738;45110000-1;M³awa
326056;39100000-3;Ciechanów
479452;45000000-7;I³owo-Osada
47204;71610000-7;M³awa
455032;09300000-2;M³awa
221623;60100000-9;I³owo-Osada
386277;;
533404;;M³awa
186035;45233120-6;Warszawa
152185;92300000-4;M³awa
112054;45233120-6;Warszawa
152185;92300000-4;M³awa
533404;;M³awa
36969;64110000-0;M³awa
264176;44163000-0;M³awa
406627;45100000-8;M³awa
36969;64110000-0;M³awa
192890;34927100-2;M³awa
455032;09300000-2;M³awa
103034;45233142-6;Warszawa
479452;45000000-7;I³owo-Osada
174722;45233221-4;Warszawa
40415;45233222-1;Warszawa
186035;45233120-6;Warszawa
451095;;
507528;;I³owo-Osada
177853;45230000-8;M³awa
467306;71320000-7;I³owo-Osada
406627;45100000-8;M³awa
344627;34927100-2;M³awa
346567;45233290-8;Warszawa
255594;44114200-4;M³awa
112054;45233120-6;Warszawa
