Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody ogółem (Wymiary: Jednostki terytorialne; Dochody)";gminy łącznie z miastami na prawach powiatu;ogółem;"";zł;361075462,20;393196286,77;407531848,24;471603052,28;505085054,52;494068930,70;532880755,52;526620276,50;571484911,76;652214469,03;653595868,92;;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody ogółem (Wymiary: Jednostki terytorialne; Dochody)";miasta na prawach powiatu;ogółem;"";zł;361075462,20;393196286,77;407531848,24;471603052,28;505085054,52;494068930,70;532880755,52;526620276,50;571484911,76;652214469,03;653595868,92;;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dotacje (Wymiary: Jednostki terytorialne; Rodzaje dotacji; Przeznaczenie)";gminy łącznie z miastami na prawach powiatu;dotacje ogółem (celowe + dotacje §§ 200, 620 + dotacje §§ 205, 625);ogółem;zł;79600526,11;89502537,87;86018190,22;135056031,13;145495337,42;139860474,07;152712039,57;138118277,26;150753702,06;182576631,86;199474890,58;;
WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";gminy łącznie z miastami na prawach powiatu;ogółem;"";zł;391920492,11;430832822,08;468569992,93;453333340,55;536518180,70;468542774,21;507460562,49;522686660,21;551909887,96;633024619,54;664302154,47;;
WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;ogółem;"";zł;391920492,11;430832822,08;468569992,93;453333340,55;536518180,70;468542774,21;507460562,49;522686660,21;551909887,96;633024619,54;664302154,47;;
