Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 926 - Kultura fizyczna";"";"zł";;1271993,00;1589712,39;1603504,35;1906807,69;1405094,19;1212949,03;1170834,50;2121556,74;2111252,97;2277475,03;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"ogółem";"";"zł";;;;;;;;526620276,50;571484911,76;652214469,03;653595868,92;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 010 - Rolnictwo i łowiectwo";"";"zł";20798,95;22246,11;21577,43;22450,47;27464,62;16803,46;16580,47;21080,07;21615,50;21417,66;19655,13;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 020 - Leśnictwo";"";"zł";1745,04;1790,49;1867,46;1936,55;1954,06;1954,08;1936,54;1924,93;1963,43;1994,78;2040,70;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 600 - Transport i łączność";"";"zł";28716221,88;23722048,47;16389494,69;68133072,94;75191858,92;74229344,88;43950212,85;15203382,74;13356685,26;41087124,40;22319437,93;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 630 - Turystyka";"";"zł";12624,80;56994,63;67477,04;80066,71;93936,50;118857,83;155987,12;163905,40;164822,43;208253,13;150164,64;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 700 - Gospodarka mieszkaniowa";"";"zł";11511326,22;19123538,86;19670561,31;13921940,08;23647994,88;14652357,36;6078384,41;10564516,14;16764792,89;6807708,65;9482856,93;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 710 - Działalność usługowa";"";"zł";704119,79;1087424,74;701683,24;676557,56;720526,80;869427,00;1089738,75;1002121,35;1154311,07;1179912,10;1110161,96;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 720 - Informatyka";"";"zł";0,00;0,00;0,00;0,00;0,00;0,00;843,59;0,00;0,00;0,00;100800,00;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 750 - Administracja publiczna";"";"zł";3326672,78;3906818,03;5775555,64;3205876,02;3549135,46;3766090,65;20613303,27;5092577,67;22078079,75;53096930,12;3707523,38;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 751 - Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";"";"zł";390848,78;163272,05;16545,10;16330,41;454306,72;572103,56;69906,42;18161,46;674955,79;581431,69;588820,01;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 752 - Obrona narodowa";"";"zł";2930,02;4537,39;4493,09;3331,36;6983,43;4466,24;5920,91;3516,98;106222,47;102561,99;135800,00;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 754 - Bezpieczeństwo publiczne i ochrona przeciwpożarowa";"";"zł";7005685,98;7384013,80;8153475,34;8341038,27;8378006,20;7942307,89;7965814,87;8788022,90;8463991,25;9027222,38;10856343,15;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 755 - Wymiar sprawiedliwości";"";"zł";0,00;0,00;0,00;0,00;0,00;0,00;247143,23;250416,00;250408,66;263900,55;263984,88;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 756 - Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających osobowości prawnej oraz wydatki związane z ich poborem";"";"zł";102365670,97;115454985,84;122488781,34;134287534,71;145116052,14;136157932,73;147793774,33;166521706,31;172039942,90;176327196,19;181940666,06;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 758 - Różne rozliczenia";"";"zł";130466972,00;137075437,33;147867418,01;148756220,17;147433829,97;149568654,80;153187470,86;153461089,90;157608048,33;169084653,57;199991086,48;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 801 - Oświata i wychowanie";"";"zł";3150920,82;7388944,17;8434720,91;9514858,73;11208480,59;13565168,98;13941983,53;11991798,49;13630253,36;12760549,79;16324482,47;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 851 - Ochrona zdrowia";"";"zł";6882109,07;7367719,82;7030204,57;7060961,44;6372282,09;5193499,57;4604818,92;4163598,57;3458772,89;3134713,29;4054271,89;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 852 - Pomoc społeczna";"";"zł";48472864,32;48900274,05;53297667,07;56462394,60;58366971,43;59803172,35;108850008,50;31556154,46;32697330,60;34452357,50;37558580,19;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 853 - Pozostałe zadania w zakresie polityki społecznej";"";"zł";9154256,03;12106658,75;7776984,64;11361434,71;11450330,61;7020063,41;3976836,42;3660810,77;3695468,75;3608178,37;6780174,16;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 854 - Edukacyjna opieka wychowawcza";"";"zł";2287818,37;2354213,07;2340711,31;2710663,35;2723086,54;2597273,80;2255300,54;1973710,00;1904172,66;1819461,32;1490218,94;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 855 - Rodzina";"";"zł";;;;;;;;93841519,45;94821391,97;114024130,24;133522152,17;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 900 - Gospodarka komunalna i ochrona środowiska";"";"zł";5360329,68;5772928,08;5892753,56;5403677,06;8312117,78;15586964,29;16859200,80;17163242,00;19333175,47;17976657,31;20540027,89;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 921 - Kultura i ochrona dziedzictwa narodowego";"";"zł";1755,08;30448,09;10164,10;39202,79;122928,09;997393,63;2640,16;6186,41;7136949,59;4536861,03;379144,93;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 926 - Kultura fizyczna i sport";"";"zł";1239791,62;;;;;;;;;;;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 926 - Kultura fizyczna";"";"zł";;1271993,00;1589712,39;1603504,35;1906807,69;1405094,19;1212949,03;1170834,50;2121556,74;2111252,97;2277475,03;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"razem";"";"zł";151088444,09;166708327,90;173741188,02;187919950,15;212335595,10;204851283,63;227058979,95;235119784,24;263164502,70;300589579,17;263476798,34;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek rolny";"";"zł";63817,31;70854,37;103119,62;110614,20;127262,00;107706,85;98381,68;87655,30;84072,51;90012,27;93352,71;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek leśny";"";"zł";3871,80;4141,00;5205,00;51415,20;16902,00;18842,80;37343,00;36898,40;38326,50;37466,21;37885,40;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od nieruchomości";"";"zł";34435069,13;39817191,89;42291054,46;44400702,11;45185916,55;43901527,06;48278056,83;54810844,38;51525546,28;48828722,72;58892109,60;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od środków transportowych";"";"zł";1222785,88;1351506,02;1216873,56;1222241,25;1263716,30;1357408,90;1500696,18;1543693,25;1707521,64;1718617,43;1728173,64;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od spadków i darowizn";"";"zł";;;;;;;;;;871335,52;370406,73;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od czynności cywilnoprawnych";"";"zł";3149436,91;3143291,05;2764329,89;2925539,75;2762937,82;3202569,57;3888554,91;7985073,38;5929795,38;4825599,89;7136392,02;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od działalności gospodarczej osób fizycznych, opłacany w formie karty podatkowej";"";"zł";;;118729,34;122813,94;115271,50;105522,08;98396,13;14329,67;5299,78;4310,65;4567,05;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - ustalone i pobierane na podstawie odrębnych ustaw";"";"zł";39509331,75;44949897,74;46964536,04;49250340,58;49894802,81;49141120,80;54178517,34;64984896,09;59840465,76;56376064,69;68262887,15;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"udziały w podatkach stanowiących dochody budżetu państwa razem";"";"zł";57510507,88;64478285,53;69249351,84;72186580,87;76340539,50;80601787,87;86738219,37;95427323,18;105742941,33;113439854,44;106644699,67;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"zł";54423509,00;60926482,00;65985391,00;68284201,00;72422310,00;76977761,00;82568261,00;91022977,00;100280675,00;108158733,00;101938450,00;;
