Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 755 - Wymiar sprawiedliwości";"";"zł";0,00;0,00;0,00;0,00;0,00;0,00;247143,23;250416,00;250408,66;263900,55;263984,88;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 756 - Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających osobowości prawnej oraz wydatki związane z ich poborem";"";"zł";102365670,97;115454985,84;122488781,34;134287534,71;145116052,14;136157932,73;147793774,33;166521706,31;172039942,90;176327196,19;181940666,06;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 758 - Różne rozliczenia";"";"zł";130466972,00;137075437,33;147867418,01;148756220,17;147433829,97;149568654,80;153187470,86;153461089,90;157608048,33;169084653,57;199991086,48;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 801 - Oświata i wychowanie";"";"zł";3150920,82;7388944,17;8434720,91;9514858,73;11208480,59;13565168,98;13941983,53;11991798,49;13630253,36;12760549,79;16324482,47;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 851 - Ochrona zdrowia";"";"zł";6882109,07;7367719,82;7030204,57;7060961,44;6372282,09;5193499,57;4604818,92;4163598,57;3458772,89;3134713,29;4054271,89;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 852 - Pomoc społeczna";"";"zł";48472864,32;48900274,05;53297667,07;56462394,60;58366971,43;59803172,35;108850008,50;31556154,46;32697330,60;34452357,50;37558580,19;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 853 - Pozostałe zadania w zakresie polityki społecznej";"";"zł";9154256,03;12106658,75;7776984,64;11361434,71;11450330,61;7020063,41;3976836,42;3660810,77;3695468,75;3608178,37;6780174,16;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 854 - Edukacyjna opieka wychowawcza";"";"zł";2287818,37;2354213,07;2340711,31;2710663,35;2723086,54;2597273,80;2255300,54;1973710,00;1904172,66;1819461,32;1490218,94;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 855 - Rodzina";"";"zł";;;;;;;;93841519,45;94821391,97;114024130,24;133522152,17;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 900 - Gospodarka komunalna i ochrona środowiska";"";"zł";5360329,68;5772928,08;5892753,56;5403677,06;8312117,78;15586964,29;16859200,80;17163242,00;19333175,47;17976657,31;20540027,89;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 921 - Kultura i ochrona dziedzictwa narodowego";"";"zł";1755,08;30448,09;10164,10;39202,79;122928,09;997393,63;2640,16;6186,41;7136949,59;4536861,03;379144,93;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 926 - Kultura fizyczna i sport";"";"zł";1239791,62;;;;;;;;;;;;
